( 0, 88, 10.612)
      ( 0, 131,  7.759)
      ( 0, 181, 80.798)
      ( 0, 282, 11.115)
      ( 0, 295, 19.646)
      ( 0, 307, 50.407)
      ( 0, 320, 68.267)
      ( 0, 329, 74.795)
      ( 0, 385, 74.411)
      ( 1,  8, 29.096)
      ( 1, 24, 84.086)
      ( 1, 28, 98.101)
      ( 1, 126, 84.866)
      ( 1, 136, 90.426)
      ( 1, 167,  6.479)
      ( 1, 244, 47.441)
      ( 1, 310, 62.076)
      ( 1, 320, 11.244)
      ( 1, 322, 36.797)
      ( 1, 368, 72.655)
      ( 2, 36, 55.534)
      ( 2, 49, 87.360)
      ( 2, 110, 77.963)
      ( 2, 129, 16.089)
      ( 2, 136, 59.476)
      ( 2, 257, 44.989)
      ( 2, 267, 71.470)
      ( 2, 280, 21.250)
      ( 2, 326, 11.462)
      ( 2, 390, 15.973)
      ( 3, 46, 48.205)
      ( 3, 81, 27.849)
      ( 3, 89, 41.819)
      ( 3, 158, 15.135)
      ( 3, 278, 69.873)
      ( 3, 298,  4.981)
      ( 3, 311, 20.481)
      ( 3, 345, 97.054)
      ( 3, 355, 53.562)
      ( 3, 392, 49.319)
      ( 4, 16,  2.963)
      ( 4, 68, 39.359)
      ( 4, 158, 36.809)
      ( 4, 209, 10.066)
      ( 4, 213, 34.483)
      ( 4, 221, 30.636)
      ( 4, 240, 21.400)
      ( 4, 251, 79.482)
      ( 4, 273, 24.303)
      ( 4, 354, 47.632)
      ( 5, 36, 68.359)
      ( 5, 105, 94.586)
      ( 5, 115, 38.434)
      ( 5, 151, 69.953)
      ( 5, 156, 35.083)
      ( 5, 178, 37.209)
      ( 5, 200,  4.423)
      ( 5, 278, 21.597)
      ( 5, 324, 10.261)
      ( 5, 356, 75.893)
      ( 5, 361, 94.000)
      ( 5, 390, 45.913)
      ( 5, 404, 20.808)
      ( 6, 19, 20.829)
      ( 6, 109, 75.275)
      ( 6, 136, 52.967)
      ( 6, 155, 93.009)
      ( 6, 167, 84.316)
      ( 6, 189, 85.038)
      ( 6, 229, 12.592)
      ( 6, 276, 99.884)
      ( 6, 282, 23.479)
